Sysname,model,source,description
MOCGTA-IUSTB00931-WA,7750,10.190.0.215,standard_network_PS:no_rate_limit
CGOGTA-IUSTB00967-WA,7750,10.190.0.216,standard_network_PS:no_rate_limit
PARGTA-IUSTB00968-WA,7750,10.190.0.217,standard_network_PS:no_rate_limit
SOUCEN-TOR251-GA,7750,10.190.0.218,standard_network_PS:no_rate_limit
GOMGTA-IUSTB00939-WA,7750,10.190.0.219,standard_network_PS:no_rate_limit
ENSGTA-IUSTB0098-WA,7750,10.190.0.22,standard_network_PS:no_rate_limit
PARRAL-HGP375-GA,7750,10.190.0.220,standard_network_PS:no_rate_limit
JUAMTX-JUA002-CA,7750,10.190.0.221,standard_network_PS:no_rate_limit
JUAMTX-JUA002-CB,7750,10.190.0.222,standard_network_PS:no_rate_limit
SANLUC-JUA011-GA,7750,10.190.0.223,standard_network_PS:no_rate_limit
GRANJE-JUA008-GA,7750,10.190.0.224,standard_network_PS:no_rate_limit
EASCEN-JUA009-GA,7750,10.190.0.225,standard_network_PS:no_rate_limit
PRADER-JUA035-GA,7750,10.190.0.226,standard_network_PS:no_rate_limit
FRAVIL-DGO604-GA,7750,10.190.0.227,standard_network_PS:no_rate_limit
DURMTX-DGO602-GA,7750,10.190.0.228,standard_network_PS:no_rate_limit
TVAZTE-DGO600-GA,7750,10.190.0.229,standard_network_PS:no_rate_limit
ENSENA-BCN1051-GA,7750,10.190.0.23,standard_network_PS:no_rate_limit
JERGTA-IUSTB00929-WA,7750,10.190.0.233,standard_network_PS:no_rate_limit
DURGTA-IUSTB00900-WA,7750,10.190.0.234,standard_network_PS:no_rate_limit
TORMTX-TOR250-EA,7750,10.190.0.235,standard_network_PS:no_rate_limit
TORMTX-TOR250-EB,7750,10.190.0.236,standard_network_PS:no_rate_limit
TORMTX-TOR250-SA,7450,10.190.0.237,standard_network_PS:no_rate_limit
TORMTX-TOR250-SB,7450,10.190.0.238,standard_network_PS:no_rate_limit
JUAGTA-IUSTB00960-WA,7750,10.190.0.239,standard_network_PS:no_rate_limit
TECGTA-IUSTB00932-WA,7750,10.190.0.24,standard_network_PS:no_rate_limit
TORMTX-TOR250-AA,7705,10.190.0.240,
DURMTX-DGO602-AA,7705,10.190.0.241,
CANEST-CHI119-AA,7705,10.190.0.242,
CHIMTX-CHI100-EA,7750,10.190.0.245,standard_network_PS:no_rate_limit
CHIMTX-CHI100-EB,7750,10.190.0.246,standard_network_PS:no_rate_limit
CHIMTX-CHI100-SA,7450,10.190.0.247,standard_network_PS:no_rate_limit
CHIMTX-CHI100-SB,7450,10.190.0.248,standard_network_PS:no_rate_limit
CHIMTX-CHI100-AA,7705,10.190.0.249,
TECATE-BCN1037-GA,7750,10.190.0.25,standard_network_PS:no_rate_limit
PARRAL-HGP375-AA,7705,10.190.0.250,
GRANJE-JUA008-AA,7705,10.190.0.251,
TORGTA-IUSTB00940-WA,7750,10.190.0.252,standard_network_PS:no_rate_limit
JUAMTX-JUA002-AA,7705,10.190.0.255,
SRLGTA-IUSTB00989-WA,7750,10.190.0.26,standard_network_PS:no_rate_limit
SJDGTA-IUSTB00958-WA,7750,10.190.0.28,
LCAMTX-BCS1003-CA,7750,10.190.0.30,standard_network_PS:no_rate_limit
LCAMTX-BCS1003-CB,7750,10.190.0.31,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-SA,7450,10.190.0.32,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-SB,7450,10.190.0.33,standard_network_PS:no_rate_limit
SLRCOL-SON202-AA,7705,10.190.0.34,
LCAMTX-BCS1003-AA,7705,10.190.0.35,
MORTVA-BCN1028-AA,7705,10.190.0.36,
PAZIND-BCS1015-GA,7750,10.190.0.37,standard_network_PS:no_rate_limit
GTALAP-IUSTB00988-WA,7750,10.190.0.38,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-AA,7705,10.190.0.39,
OTAY-BCN1051-GA,7750,10.190.0.4,standard_network_PS:no_rate_limit
REVOLU-BCN1042-AA,7705,10.190.0.40,
CABSLU-BCS1012-GA,7750,10.190.0.41,standard_network_PS:no_rate_limit
LDSGTA-IUSTB00957-WA,7750,10.190.0.42,standard_network_PS:no_rate_limit
ENSENA-BCN1051-AA,7705,10.190.0.43,
PAZIND-BCS1015-AA,7705,10.190.0.45,
LCAMTX-BCS1003-EA,7750,10.190.0.49,standard_network_PS:no_rate_limit
LCAMTX-BCS1003-EB,7750,10.190.0.50,standard_network_PS:no_rate_limit
LCAMTX-BCS1003-SA,7450,10.190.0.51,standard_network_PS:no_rate_limit
LCAMTX-BCS1003-SB,7450,10.190.0.52,standard_network_PS:no_rate_limit
LCAMTX-BCS1003-AB,7705,10.190.0.53,
TIJ-M5-CA,7750,10.190.0.54,standard_network_PS:no_rate_limit
TIJ-M5-CB,7750,10.190.0.55,standard_network_PS:no_rate_limit
TIJ-M5-EA,7750,10.190.0.56,standard_network_PS:no_rate_limit
TIJ-M5-EB,7750,10.190.0.57,standard_network_PS:no_rate_limit
FLORID-BCN1070-GA,7750,10.190.0.6,standard_network_PS:no_rate_limit
CHAPUL-BCN1010-AA,7705,10.190.0.66,
MAESTR-BCN1011-AA,7705,10.190.0.67,
ALAMOS-BCN1043-GA,7750,10.190.0.7,standard_network_PS:no_rate_limit
PALMAS-BCN1065-GA,7750,10.190.0.8,standard_network_PS:no_rate_limit
MARMOL-BCN1044-GA,7750,10.190.0.9,standard_network_PS:no_rate_limit
JUAMTX-JUA002-EA,7750,10.190.1.0,standard_network_PS:no_rate_limit
JUAMTX-JUA002-EB,7750,10.190.1.1,standard_network_PS:no_rate_limit
IUSATE-TMP4008-GA,7750,10.190.1.100,standard_network_PS:no_rate_limit
LASFUE-TMP4017-GA,7750,10.190.1.102,standard_network_PS:no_rate_limit
LASFUE-TMP4017-AA,7705,10.190.1.103,
MATAMO-TMP4011-GA,7750,10.190.1.104,standard_network_PS:no_rate_limit
MATAMO-TMP4011-AA,7705,10.190.1.105,
SALUAC-COA4025-GA,7750,10.190.1.107,standard_network_PS:no_rate_limit
VICGTA-IUSTB00986-WA,7750,10.190.1.110,standard_network_PS:no_rate_limit
CDVICT-CVM330-GA,7750,10.190.1.111,standard_network_PS:no_rate_limit
CDVICT-CVM330-AA,7705,10.190.1.112,
LAJGTA-IUSTB00961-WA,7750,10.190.1.113,standard_network_PS:no_rate_limit
MONGTA-IUSTB00936-WA,7750,10.190.1.114,standard_network_PS:no_rate_limit
MONCLO-COA4012L-GA,7750,10.190.1.115,standard_network_PS:no_rate_limit
MONCLO-COA4012L-AA,7705,10.190.1.116,
PNEGTA-IUSTB00897-WA,7750,10.190.1.117,standard_network_PS:no_rate_limit
PIENEG-NVL4038-GA,7750,10.190.1.119,standard_network_PS:no_rate_limit
PIENEG-NVL4038-AA,7705,10.190.1.120,
ALTGTA-IUSTB00902-WA,7750,10.190.1.121,standard_network_PS:no_rate_limit
SABGTA-IUSTB00937-WA,7750,10.190.1.122,standard_network_PS:no_rate_limit
HUMLOB-NVL4039-AA,7705,10.190.1.123,
TAMMTX-TAMREP011-CA,7750,10.190.1.124,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-CB,7750,10.190.1.125,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-EA,7750,10.190.1.128,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-EB,7750,10.190.1.129,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-SA,7450,10.190.1.130,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-SB,7450,10.190.1.131,standard_network_PS:no_rate_limit
TAMMTX-TAMREP011-AA,7705,10.190.1.132,
GUEGTA-IUSTB00978-WA,7750,10.190.1.134,standard_network_PS:no_rate_limit
SABINA-TMXCOA011-AA,7705,10.190.1.137,
MTY-M4-CA,7750,10.190.1.138,standard_network_PS:no_rate_limit
MTY-M4-CB,7750,10.190.1.139,standard_network_PS:no_rate_limit
MTY-M4-EA,7750,10.190.1.140,standard_network_PS:no_rate_limit
MTY-M4-EB,7750,10.190.1.141,standard_network_PS:no_rate_limit
NLD-R12-EA,7750,10.190.1.142,standard_network_PS:no_rate_limit
NLD-R12-EB,7750,10.190.1.143,standard_network_PS:no_rate_limit
REY-R15-EA,7750,10.190.1.146,standard_network_PS:no_rate_limit
REY-R15-EB,7750,10.190.1.147,standard_network_PS:no_rate_limit
LWA-TELEFONICA-MTY,7705,10.190.1.149,
GDLMTX-JAL5075-CA,7750,10.190.1.150,standard_network_PS:no_rate_limit
TLAQUE-JAL5084-GA,7750,10.190.1.152,standard_network_PS:no_rate_limit
GDLCEN-JAL5019-GA,7750,10.190.1.153,standard_network_PS:no_rate_limit
MEZQUI-JAL5101-GA,7750,10.190.1.154,standard_network_PS:no_rate_limit
PROVID-JAL5084-GA,7750,10.190.1.155,standard_network_PS:no_rate_limit
FRESNO-JAL5055-GA,7750,10.190.1.156,standard_network_PS:no_rate_limit
STAMAR-GUA035H-GA,7750,10.190.1.157,standard_network_PS:no_rate_limit
TIJERA-JAL5060-GA,7750,10.190.1.158,standard_network_PS:no_rate_limit
FUENTE-JAL5085-GA,7750,10.190.1.159,standard_network_PS:no_rate_limit
INGLAT-JAL5100-GA,7750,10.190.1.160,standard_network_PS:no_rate_limit
CRZSUR-JAL5099-GA,7750,10.190.1.161,standard_network_PS:no_rate_limit
AUDITO-JAL5091-GA,7750,10.190.1.163,standard_network_PS:no_rate_limit
VALREA-JAL5092-GA,7750,10.190.1.165,standard_network_PS:no_rate_limit
PATRIA-JAL5077-GA,7750,10.190.1.166,standard_network_PS:no_rate_limit
GDLGTA-IUSTB00951-WA,7750,10.190.1.167,standard_network_PS:no_rate_limit
GDLMTX-JAL5075-SA,7450,10.190.1.170,standard_network_PS:no_rate_limit
GDLMTX-JAL5075-SB,7450,10.190.1.171,standard_network_PS:no_rate_limit
PVAGTA-IUSTB00953-WA,7750,10.190.1.174,standard_network_PS:no_rate_limit
ROCIOM-COL5002-AA,7705,10.190.1.175,
TEPGTA-IUSTB00964-WA,7750,10.190.1.176,standard_network_PS:no_rate_limit
ROCIOM-COL5002-GA,7750,10.190.1.177,standard_network_PS:no_rate_limit
COLGTA-IUSTB00950-WA,7750,10.190.1.178,standard_network_PS:no_rate_limit
COLCEN-COL5017-GA,7750,10.190.1.179,standard_network_PS:no_rate_limit
MORGTA-MICH5022-WA,7750,10.190.1.181,standard_network_PS:no_rate_limit
TOREO-MICH5032-GA,7750,10.190.1.182,standard_network_PS:no_rate_limit
COSMOS-MOR007-GA,7750,10.190.1.183,standard_network_PS:no_rate_limit
LASALU-MICH5022-GA,7750,10.190.1.184,standard_network_PS:no_rate_limit
SIELEO-MOR003H-GA,7750,10.190.1.185,standard_network_PS:no_rate_limit
LCAGTA-IUSTB00948-WA,7750,10.190.1.186,standard_network_PS:no_rate_limit
LAZCA5-MICH5027-GA,7750,10.190.1.187,standard_network_PS:no_rate_limit
ACUEDU-JAL5017-AA,7705,10.190.1.189,
AUDITO-JAL5091-AA,7705,10.190.1.190,
ORIENT-JAL5086-AA,7705,10.190.1.191,
CRZSUR-JAL5099-AA,7705,10.190.1.192,
FRESNO-JAL5055-AA,7705,10.190.1.193,
PUEVA1-JAL5012-GA,7750,10.190.1.194,standard_network_PS:no_rate_limit
TEPTVA-NAY5009-GA,7750,10.190.1.195,standard_network_PS:no_rate_limit
PUEVA1-JAL5012-AA,7705,10.190.1.196,
PUEVA1-JAL5012-AB,7705,10.190.1.197,
COLCEN-COL5017-AA,7705,10.190.1.198,
LASALU-MICH5022-AA,7705,10.190.1.199,
JUAMTX-JUA002-SA,7450,10.190.1.2,standard_network_PS:no_rate_limit
COLCEN-COL5017-AC,7705,10.190.1.200,
TEPTVA-NAY5009-AA,7705,10.190.1.201,
TOREO-MICH5032-AA,7705,10.190.1.203,
TOREO-MICH5032-AB,7705,10.190.1.204,
TOREO-MICH5032-AC,7705,10.190.1.205,
LALOMA-JAL5059-GA,7750,10.190.1.206,standard_network_PS:no_rate_limit
GDLMTX-JAL5075-AA,7705,10.190.1.207,
MANGTA-IUSTB00966-WA,7750,10.190.1.209,standard_network_PS:no_rate_limit
SIELEO-MOR003H-AA,7705,10.190.1.210,
TEPIC2-IUSTB00952-WA,7750,10.190.1.211,standard_network_PS:no_rate_limit
COLCEN-COL5017-AB,7705,10.190.1.212,
LAZCA5-MICH5027-AA,7705,10.190.1.213,
GDL-M3-CA,7750,10.190.1.214,standard_network_PS:no_rate_limit
GDL-M3-CB,7750,10.190.1.215,standard_network_PS:no_rate_limit
GDL-M3-EA,7750,10.190.1.216,standard_network_PS:no_rate_limit
GDLMTX-TELCEL-BAN,7705,10.190.1.218,
OCOTLAN-WA,7750,10.190.1.219,standard_network_PS:no_rate_limit
URUAPAN-WA,7750,10.190.1.220,standard_network_PS:no_rate_limit
URUAPAN-MICH5011-GA,7750,10.190.1.221,standard_network_PS:no_rate_limit
CARDENAS-WA,7750,10.190.1.222,standard_network_PS:no_rate_limit
CARDENAS-TAB8007-GA,7750,10.190.1.223,standard_network_PS:no_rate_limit
GDLMTX-TELMEX-CTG-AA,7705,10.190.1.224,
TLAJOM-JAL5074-AA,7705,10.190.1.225,
GDL-TEMM-AA,7705,10.190.1.226,
MXCOLCOL0080RTAGG01,7750,10.190.1.227,standard_network_PS:no_rate_limit
AERVALL-HPTV0016-GA,7750,10.190.1.228,standard_network_PS:no_rate_limit
MXJALTLZ0887RTAGG01,7750,10.190.1.240,standard_network_PS:no_rate_limit
JUAMTX-JUA002-SB,7450,10.190.1.3,standard_network_PS:no_rate_limit
CHI-R9-EA,7750,10.190.1.4,standard_network_PS:no_rate_limit
CHI-R9-EB,7750,10.190.1.5,standard_network_PS:no_rate_limit
MONTER-NVL4038-CA,7750,10.190.1.50,standard_network_PS:no_rate_limit
MONTER-NVL4038-CB,7750,10.190.1.51,standard_network_PS:no_rate_limit
MONTER-NVL4038-EB,7750,10.190.1.55,standard_network_PS:no_rate_limit
MONTER-NVL4038-SA,7450,10.190.1.56,standard_network_PS:no_rate_limit
MONTER-NVL4038-SB,7450,10.190.1.57,standard_network_PS:no_rate_limit
MONTER-NVL4038-AA,7705,10.190.1.58,
MONTER-NVL4038-AB,7705,10.190.1.59,
MTYGTA-IUSTB00959-WA,7750,10.190.1.60,standard_network_PS:no_rate_limit
DIVNOR-NVL4031-GA,7750,10.190.1.61,standard_network_PS:no_rate_limit
DIVNOR-NVL4031-AA,7705,10.190.1.62,
LAFE-NVL4049-GA,7750,10.190.1.63,standard_network_PS:no_rate_limit
OTOMI-NVL4040-GA,7750,10.190.1.64,standard_network_PS:no_rate_limit
MONTER-NVL4038-IEA,7750,10.190.1.65,standard_network_PS:no_rate_limit
NUEMOR-NVL4052-GA,7750,10.190.1.67,standard_network_PS:no_rate_limit
NUEMOR-NVL4052-AA,7705,10.190.1.68,
PENGUE-NVL4064-GA,7750,10.190.1.70,standard_network_PS:no_rate_limit
DIEDIA-NVL4032-GA,7750,10.190.1.71,standard_network_PS:no_rate_limit
CINTER-NVL4093-GA,7750,10.190.1.72,standard_network_PS:no_rate_limit
HUMLOB-NVL4039-GA,7750,10.190.1.73,standard_network_PS:no_rate_limit
JUAREZ-NVL4022-GA,7750,10.190.1.75,standard_network_PS:no_rate_limit
HUINAL-NVL4053-GA,7750,10.190.1.76,standard_network_PS:no_rate_limit
HUINAL-NVL4053-AA,7705,10.190.1.77,
APODAC-NVL4069-GA,7750,10.190.1.78,standard_network_PS:no_rate_limit
APODAC-NVL4069-AA,7705,10.190.1.79,
JRZ-R8-EA,7750,10.190.1.8,standard_network_PS:no_rate_limit
POIUNE-MTYMTX-GA,7750,10.190.1.82,standard_network_PS:no_rate_limit
ZONCEN-NVL4034-GA,7750,10.190.1.83,standard_network_PS:no_rate_limit
VASCON-MTY049-GA,7750,10.190.1.84,standard_network_PS:no_rate_limit
TAMGTA-IUSTB00902-WA,7750,10.190.1.85,standard_network_PS:no_rate_limit
PUEIND-TAM017-GA,7750,10.190.1.86,standard_network_PS:no_rate_limit
CANGAR-TAM003-GA,7750,10.190.1.87,standard_network_PS:no_rate_limit
MANDIA-TAM009-GA,7750,10.190.1.88,standard_network_PS:no_rate_limit
MARTOL-TAM006-GA,7750,10.190.1.89,standard_network_PS:no_rate_limit
JRZ-R8-EB,7750,10.190.1.9,standard_network_PS:no_rate_limit
SABINA-IUSTB00937-GA,7750,10.190.1.90,standard_network_PS:no_rate_limit
CANGAR-TAM003-AA,7705,10.190.1.92,
PUEIND-TAM017-AA,7705,10.190.1.93,
CRYCLU-TAM010-GA,7750,10.190.1.94,standard_network_PS:no_rate_limit
ZAPATE-TMP4010-GA,7750,10.190.1.95,standard_network_PS:no_rate_limit
FIDVEL-TMP4039-GA,7750,10.190.1.97,standard_network_PS:no_rate_limit
FIDVEL-TMP4039-AA,7705,10.190.1.98,
LEOMTX-GUJ6030-CA,7750,10.190.2.0,standard_network_PS:no_rate_limit
LEOMTX-GUJ6030-CB,7750,10.190.2.1,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-CA,7750,10.190.2.100,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-CB,7750,10.190.2.101,standard_network_PS:no_rate_limit
MIRADO-PUE7054-GA,7750,10.190.2.102,standard_network_PS:no_rate_limit
PUEPAZ-PUE7013-GA,7750,10.190.2.103,standard_network_PS:no_rate_limit
NODOEC-PUE7014-GA,7750,10.190.2.104,standard_network_PS:no_rate_limit
MEXI68-PUE7014-GA,7750,10.190.2.105,standard_network_PS:no_rate_limit
BRITAN-PUE7045-GA,7750,10.190.2.106,standard_network_PS:no_rate_limit
UDLA-PUE7039-GA,7750,10.190.2.107,standard_network_PS:no_rate_limit
PUEJUA-PUE7051-GA,7750,10.190.2.108,standard_network_PS:no_rate_limit
DELMOR-GUJ6049-GA,7750,10.190.2.11,standard_network_PS:no_rate_limit
PUEGTA-IUSTB00969-WA,7750,10.190.2.110,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-EA,7750,10.190.2.111,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-EB,7750,10.190.2.112,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-SA,7450,10.190.2.113,standard_network_PS:no_rate_limit
PUEMTX-PUE7020-SB,7450,10.190.2.114,standard_network_PS:no_rate_limit
TEMGTA-IUSTB00980-WA,7750,10.190.2.117,standard_network_PS:no_rate_limit
ORIGTA-IUSTB00901-WA,7750,10.190.2.118,standard_network_PS:no_rate_limit
ORIZAB-VER7030-GA,7750,10.190.2.119,standard_network_PS:no_rate_limit
VALSOL-LEO004H-GA,7750,10.190.2.12,standard_network_PS:no_rate_limit
VERGTA-IUSTB00963-WA,7750,10.190.2.121,standard_network_PS:no_rate_limit
JALAP1-VER7010-GA,7750,10.190.2.122,standard_network_PS:no_rate_limit
FERROC-VER7008-GA,7750,10.190.2.124,standard_network_PS:no_rate_limit
FIESTA-VER7069-GA,7750,10.190.2.125,standard_network_PS:no_rate_limit
POZCEN-VER7039-GA,7750,10.190.2.126,standard_network_PS:no_rate_limit
MEDPER-VER7021-GA,7750,10.190.2.127,standard_network_PS:no_rate_limit
BRISAS-VER7144-GA,7750,10.190.2.128,standard_network_PS:no_rate_limit
BUGAMB-GUJ6032-GA,7750,10.190.2.13,standard_network_PS:no_rate_limit
PZRGTA-IUSTB00962-WA,7750,10.190.2.130,standard_network_PS:no_rate_limit
MINATI-IUSTB00970-WA,7750,10.190.2.132,standard_network_PS:no_rate_limit
COAGTA-IUSTB00990-WA,7750,10.190.2.133,standard_network_PS:no_rate_limit
FORTIN-OAX7005-AA,7705,10.190.2.134,
JUILE-IUSTB00901-WA,7750,10.190.2.135,standard_network_PS:no_rate_limit
SALCRU-IUSTB00942-GA,7750,10.190.2.137,standard_network_PS:no_rate_limit
SACGTA-IUSTB00898-WA,7750,10.190.2.138,standard_network_PS:no_rate_limit
OAXAC2-OAX7002-GA,7750,10.190.2.139,standard_network_PS:no_rate_limit
FORTIN-OAX7005-GA,7750,10.190.2.140,standard_network_PS:no_rate_limit
HUATUL-OAX7047-GA,7750,10.190.2.141,standard_network_PS:no_rate_limit
CANTRE-VER7054-GA,7750,10.190.2.142,standard_network_PS:no_rate_limit
CUAUHT-ACA016HC-GA,7750,10.190.2.143,standard_network_PS:no_rate_limit
LOSLIR-GUE7016H-GA,7750,10.190.2.144,standard_network_PS:no_rate_limit
MEGREN-ACA001HC-GA,7750,10.190.2.145,standard_network_PS:no_rate_limit
ARRSEC-ACA006H-GA,7750,10.190.2.146,standard_network_PS:no_rate_limit
ACAGTA-IUSTB00898-WA,7750,10.190.2.147,standard_network_PS:no_rate_limit
CANTRE-VER7054-AA,7705,10.190.2.148,
CANTRE-VER7054-AB,7705,10.190.2.149,
ACAMTX-ACAMTX-CA,7750,10.190.2.150,standard_network_PS:no_rate_limit
ACAMTX-ACAMTX-CB,7750,10.190.2.151,standard_network_PS:no_rate_limit
JALAP1-VER7010-AA,7705,10.190.2.153,
OAXGTA-IUSTB00981-WA,7750,10.190.2.154,standard_network_PS:no_rate_limit
PUEPAZ-PUE7013-AB,7705,10.190.2.155,
BRISAS-VER7144-AA,7705,10.190.2.156,
MEDPER-VER7021-AA,7705,10.190.2.157,
PUEMTX-PUE7020-AA,7705,10.190.2.158,
PUEMTX-PUE7020-AB,7705,10.190.2.159,
LASBRI-GUJ6069-GA,7750,10.190.2.16,standard_network_PS:no_rate_limit
LOSLIR-GUE7016H-AA,7705,10.190.2.161,
LOSLIR-GUE7016H-AB,7705,10.190.2.162,
