Sysname,model,source,network,description
APODAC-NVL4069-GA,7750,10.190.1.78,11000,IPMEAN-external:TP_policy
JRZ-R8-EA,7750,10.190.1.8,11000,IPMEAN-external:TP_policy
POIUNE-MTYMTX-GA,7750,10.190.1.82,11000,IPMEAN-external:TP_policy
ZONCEN-NVL4034-GA,7750,10.190.1.83,11000,IPMEAN-external:TP_policy
VASCON-MTY049-GA,7750,10.190.1.84,11000,IPMEAN-external:TP_policy
TAMGTA-IUSTB00902-WA,7750,10.190.1.85,11000,IPMEAN-external:TP_policy
PUEIND-TAM017-GA,7750,10.190.1.86,11000,IPMEAN-external:TP_policy
CANGAR-TAM003-GA,7750,10.190.1.87,11000,IPMEAN-external:TP_policy
MANDIA-TAM009-GA,7750,10.190.1.88,11000,IPMEAN-external:TP_policy
MARTOL-TAM006-GA,7750,10.190.1.89,11000,IPMEAN-external:TP_policy
JRZ-R8-EB,7750,10.190.1.9,11000,IPMEAN-external:TP_policy
SABINA-IUSTB00937-GA,7750,10.190.1.90,11000,IPMEAN-external:TP_policy
CRYCLU-TAM010-GA,7750,10.190.1.94,11000,IPMEAN-external:TP_policy
ZAPATE-TMP4010-GA,7750,10.190.1.95,11000,IPMEAN-external:TP_policy
FIDVEL-TMP4039-GA,7750,10.190.1.97,11000,IPMEAN-external:TP_policy
LEOMTX-GUJ6030-CA,7750,10.190.2.0,11000,IPMEAN-external:TP_policy
LEOMTX-GUJ6030-CB,7750,10.190.2.1,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-CA,7750,10.190.2.100,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-CB,7750,10.190.2.101,11000,IPMEAN-external:TP_policy
MIRADO-PUE7054-GA,7750,10.190.2.102,11000,IPMEAN-external:TP_policy
PUEPAZ-PUE7013-GA,7750,10.190.2.103,11000,IPMEAN-external:TP_policy
NODOEC-PUE7014-GA,7750,10.190.2.104,11000,IPMEAN-external:TP_policy
MEXI68-PUE7014-GA,7750,10.190.2.105,11000,IPMEAN-external:TP_policy
BRITAN-PUE7045-GA,7750,10.190.2.106,11000,IPMEAN-external:TP_policy
UDLA-PUE7039-GA,7750,10.190.2.107,11000,IPMEAN-external:TP_policy
PUEJUA-PUE7051-GA,7750,10.190.2.108,11000,IPMEAN-external:TP_policy
DELMOR-GUJ6049-GA,7750,10.190.2.11,11000,IPMEAN-external:TP_policy
PUEGTA-IUSTB00969-WA,7750,10.190.2.110,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-EA,7750,10.190.2.111,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-EB,7750,10.190.2.112,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-SA,7450,10.190.2.113,11000,IPMEAN-external:TP_policy
PUEMTX-PUE7020-SB,7450,10.190.2.114,11000,IPMEAN-external:TP_policy
TEMGTA-IUSTB00980-WA,7750,10.190.2.117,11000,IPMEAN-external:TP_policy
ORIGTA-IUSTB00901-WA,7750,10.190.2.118,11000,IPMEAN-external:TP_policy
ORIZAB-VER7030-GA,7750,10.190.2.119,11000,IPMEAN-external:TP_policy
VALSOL-LEO004H-GA,7750,10.190.2.12,11000,IPMEAN-external:TP_policy
VERGTA-IUSTB00963-WA,7750,10.190.2.121,11000,IPMEAN-external:TP_policy
JALAP1-VER7010-GA,7750,10.190.2.122,11000,IPMEAN-external:TP_policy
FERROC-VER7008-GA,7750,10.190.2.124,11000,IPMEAN-external:TP_policy
FIESTA-VER7069-GA,7750,10.190.2.125,11000,IPMEAN-external:TP_policy
POZCEN-VER7039-GA,7750,10.190.2.126,11000,IPMEAN-external:TP_policy
MEDPER-VER7021-GA,7750,10.190.2.127,11000,IPMEAN-external:TP_policy
BRISAS-VER7144-GA,7750,10.190.2.128,11000,IPMEAN-external:TP_policy
BUGAMB-GUJ6032-GA,7750,10.190.2.13,11000,IPMEAN-external:TP_policy
PZRGTA-IUSTB00962-WA,7750,10.190.2.130,11000,IPMEAN-external:TP_policy
MINATI-IUSTB00970-WA,7750,10.190.2.132,11000,IPMEAN-external:TP_policy
COAGTA-IUSTB00990-WA,7750,10.190.2.133,11000,IPMEAN-external:TP_policy
JUILE-IUSTB00901-WA,7750,10.190.2.135,11000,IPMEAN-external:TP_policy
SALCRU-IUSTB00942-GA,7750,10.190.2.137,11000,IPMEAN-external:TP_policy
SACGTA-IUSTB00898-WA,7750,10.190.2.138,11000,IPMEAN-external:TP_policy
OAXAC2-OAX7002-GA,7750,10.190.2.139,11000,IPMEAN-external:TP_policy
FORTIN-OAX7005-GA,7750,10.190.2.140,11000,IPMEAN-external:TP_policy
HUATUL-OAX7047-GA,7750,10.190.2.141,11000,IPMEAN-external:TP_policy
CANTRE-VER7054-GA,7750,10.190.2.142,11000,IPMEAN-external:TP_policy
CUAUHT-ACA016HC-GA,7750,10.190.2.143,11000,IPMEAN-external:TP_policy
LOSLIR-GUE7016H-GA,7750,10.190.2.144,11000,IPMEAN-external:TP_policy
MEGREN-ACA001HC-GA,7750,10.190.2.145,11000,IPMEAN-external:TP_policy
ARRSEC-ACA006H-GA,7750,10.190.2.146,11000,IPMEAN-external:TP_policy
ACAGTA-IUSTB00898-WA,7750,10.190.2.147,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-CA,7750,10.190.2.150,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-CB,7750,10.190.2.151,11000,IPMEAN-external:TP_policy
OAXGTA-IUSTB00981-WA,7750,10.190.2.154,11000,IPMEAN-external:TP_policy
LASBRI-GUJ6069-GA,7750,10.190.2.16,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-EA,7750,10.190.2.175,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-EB,7750,10.190.2.176,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-SA,7450,10.190.2.177,11000,IPMEAN-external:TP_policy
ACAMTX-ACAMTX-SB,7450,10.190.2.178,11000,IPMEAN-external:TP_policy
ACSMTX-BB019-GA,7750,10.190.2.18,11000,IPMEAN-external:TP_policy
TEHUAC-PUE7026-GA,7750,10.190.2.180,11000,IPMEAN-external:TP_policy
ELABUE-VER7027-GA,7750,10.190.2.182,11000,IPMEAN-external:TP_policy
ZIHGTA-GUE7041-WA,7750,10.190.2.184,11000,IPMEAN-external:TP_policy
MXVERCTZ0509RTAGG01,7750,10.190.2.185,11000,IPMEAN-external:TP_policy
CIUDAD-GUJ6020-GA,7750,10.190.2.19,11000,IPMEAN-external:TP_policy
HUATUL-IUSTB00991-WA,7750,10.190.2.190,11000,IPMEAN-external:TP_policy
PUE-R4-EA,7750,10.190.2.191,11000,IPMEAN-external:TP_policy
PUE-R4-EB,7750,10.190.2.192,11000,IPMEAN-external:TP_policy
VER-R18-EA,7750,10.190.2.193,11000,IPMEAN-external:TP_policy
VER-R18-EB,7750,10.190.2.194,11000,IPMEAN-external:TP_policy
VER-R18-GA-A,7750,10.190.2.195,11000,IPMEAN-external:TP_policy
VER-R18-GA-B,7750,10.190.2.196,11000,IPMEAN-external:TP_policy
LATORR-GUJ6035-GA,7750,10.190.2.20,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-CA,7750,10.190.2.200,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-CB,7750,10.190.2.201,11000,IPMEAN-external:TP_policy
VHGTAC-IUSTB00974-WA,7750,10.190.2.202,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-CA,7750,10.190.2.203,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-CB,7750,10.190.2.204,11000,IPMEAN-external:TP_policy
ALAME6-GUJ6061-GA,7750,10.190.2.21,11000,IPMEAN-external:TP_policy
MALGTA-IUSTB00971-WA,7750,10.190.2.210,11000,IPMEAN-external:TP_policy
MAMGTA-IUSTB00973-WA,7750,10.190.2.211,11000,IPMEAN-external:TP_policy
TUXGTA-IUSTB00982-WA,7750,10.190.2.212,11000,IPMEAN-external:TP_policy
MERCCO-YUC8004-GA,7750,10.190.2.213,11000,IPMEAN-external:TP_policy
PASMON-YUC8014-GA,7750,10.190.2.214,11000,IPMEAN-external:TP_policy
MECTRO-YUC8025-GA,7750,10.190.2.215,11000,IPMEAN-external:TP_policy
PZADOR-YUC8022-GA,7750,10.190.2.217,11000,IPMEAN-external:TP_policy
FRAMON-YUC8005-GA,7750,10.190.2.218,11000,IPMEAN-external:TP_policy
CLUGOL-GUJ6051-GA,7750,10.190.2.22,11000,IPMEAN-external:TP_policy
TERAN-CHP8031-GA,7750,10.190.2.220,11000,IPMEAN-external:TP_policy
CAMGTA-IUSTB00977-WA,7750,10.190.2.221,11000,IPMEAN-external:TP_policy
CARGTA-IUSTB00984-WA,7750,10.190.2.223,11000,IPMEAN-external:TP_policy
DELCAR-ROO8062-GA,7750,10.190.2.224,11000,IPMEAN-external:TP_policy
ESCGTA-IUSTB00983-WA,7750,10.190.2.225,11000,IPMEAN-external:TP_policy
ESCARC-CAM8009-GA,7750,10.190.2.226,11000,IPMEAN-external:TP_policy
TICGTA-IUSTB00975-WA,7750,10.190.2.227,11000,IPMEAN-external:TP_policy
TUXCOL-CHP8001-GA,7750,10.190.2.228,11000,IPMEAN-external:TP_policy
CHEGTA-IUSTB00985-WA,7750,10.190.2.229,11000,IPMEAN-external:TP_policy
CHETUM-ROO7013-GA,7750,10.190.2.230,11000,IPMEAN-external:TP_policy
TUXMXT-TUXMTX-GA,7750,10.190.2.231,11000,IPMEAN-external:TP_policy
