Sysname,model,source,description
BOLONI-TOR261-GA,7750,10.190.0.214,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MOCGTA-IUSTB00931-WA,7750,10.190.0.215,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CGOGTA-IUSTB00967-WA,7750,10.190.0.216,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PARGTA-IUSTB00968-WA,7750,10.190.0.217,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SOUCEN-TOR251-GA,7750,10.190.0.218,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GOMGTA-IUSTB00939-WA,7750,10.190.0.219,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ENSGTA-IUSTB0098-WA,7750,10.190.0.22,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PARRAL-HGP375-GA,7750,10.190.0.220,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-CA,7750,10.190.0.221,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-CB,7750,10.190.0.222,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SANLUC-JUA011-GA,7750,10.190.0.223,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GRANJE-JUA008-GA,7750,10.190.0.224,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
EASCEN-JUA009-GA,7750,10.190.0.225,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PRADER-JUA035-GA,7750,10.190.0.226,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FRAVIL-DGO604-GA,7750,10.190.0.227,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DURMTX-DGO602-GA,7750,10.190.0.228,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TVAZTE-DGO600-GA,7750,10.190.0.229,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ENSENA-BCN1051-GA,7750,10.190.0.23,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JERGTA-IUSTB00929-WA,7750,10.190.0.233,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DURGTA-IUSTB00900-WA,7750,10.190.0.234,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-EA,7750,10.190.0.235,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-EB,7750,10.190.0.236,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-SA,7450,10.190.0.237,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORMTX-TOR250-SB,7450,10.190.0.238,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAGTA-IUSTB00960-WA,7750,10.190.0.239,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TECGTA-IUSTB00932-WA,7750,10.190.0.24,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIMTX-CHI100-EA,7750,10.190.0.245,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIMTX-CHI100-EB,7750,10.190.0.246,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIMTX-CHI100-SA,7450,10.190.0.247,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHIMTX-CHI100-SB,7450,10.190.0.248,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TECATE-BCN1037-GA,7750,10.190.0.25,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TORGTA-IUSTB00940-WA,7750,10.190.0.252,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SRLGTA-IUSTB00989-WA,7750,10.190.0.26,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-CA,7750,10.190.0.30,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-CB,7750,10.190.0.31,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJMTX-BCN1015-SA,7450,10.190.0.32,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJMTX-BCN1015-SB,7450,10.190.0.33,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PAZIND-BCS1015-GA,7750,10.190.0.37,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GTALAP-IUSTB00988-WA,7750,10.190.0.38,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
OTAY-BCN1051-GA,7750,10.190.0.4,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CABSLU-BCS1012-GA,7750,10.190.0.41,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LDSGTA-IUSTB00957-WA,7750,10.190.0.42,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-EA,7750,10.190.0.49,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-EB,7750,10.190.0.50,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-SA,7450,10.190.0.51,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAMTX-BCS1003-SB,7450,10.190.0.52,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJ-M5-CA,7750,10.190.0.54,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJ-M5-CB,7750,10.190.0.55,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJ-M5-EA,7750,10.190.0.56,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJ-M5-EB,7750,10.190.0.57,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FLORID-BCN1070-GA,7750,10.190.0.6,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ALAMOS-BCN1043-GA,7750,10.190.0.7,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PALMAS-BCN1065-GA,7750,10.190.0.8,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MARMOL-BCN1044-GA,7750,10.190.0.9,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-EA,7750,10.190.1.0,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-EB,7750,10.190.1.1,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
IUSATE-TMP4008-GA,7750,10.190.1.100,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LASFUE-TMP4017-GA,7750,10.190.1.102,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MATAMO-TMP4011-GA,7750,10.190.1.104,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SALUAC-COA4025-GA,7750,10.190.1.107,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VICGTA-IUSTB00986-WA,7750,10.190.1.110,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CDVICT-CVM330-GA,7750,10.190.1.111,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LAJGTA-IUSTB00961-WA,7750,10.190.1.113,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONGTA-IUSTB00936-WA,7750,10.190.1.114,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONCLO-COA4012L-GA,7750,10.190.1.115,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PNEGTA-IUSTB00897-WA,7750,10.190.1.117,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PIENEG-NVL4038-GA,7750,10.190.1.119,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ALTGTA-IUSTB00902-WA,7750,10.190.1.121,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SABGTA-IUSTB00937-WA,7750,10.190.1.122,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-CA,7750,10.190.1.124,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-CB,7750,10.190.1.125,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-EA,7750,10.190.1.128,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-EB,7750,10.190.1.129,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-SA,7450,10.190.1.130,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMMTX-TAMREP011-SB,7450,10.190.1.131,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GUEGTA-IUSTB00978-WA,7750,10.190.1.134,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MTY-M4-EA,7750,10.190.1.140,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MTY-M4-EB,7750,10.190.1.141,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NLD-R12-EA,7750,10.190.1.142,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NLD-R12-EB,7750,10.190.1.143,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
REY-R15-EA,7750,10.190.1.146,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
REY-R15-EB,7750,10.190.1.147,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDLMTX-JAL5075-CA,7750,10.190.1.150,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TLAQUE-JAL5084-GA,7750,10.190.1.152,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDLCEN-JAL5019-GA,7750,10.190.1.153,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MEZQUI-JAL5101-GA,7750,10.190.1.154,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PROVID-JAL5084-GA,7750,10.190.1.155,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FRESNO-JAL5055-GA,7750,10.190.1.156,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
STAMAR-GUA035H-GA,7750,10.190.1.157,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TIJERA-JAL5060-GA,7750,10.190.1.158,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FUENTE-JAL5085-GA,7750,10.190.1.159,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
INGLAT-JAL5100-GA,7750,10.190.1.160,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CRZSUR-JAL5099-GA,7750,10.190.1.161,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
AUDITO-JAL5091-GA,7750,10.190.1.163,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VALREA-JAL5092-GA,7750,10.190.1.165,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PATRIA-JAL5077-GA,7750,10.190.1.166,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDLGTA-IUSTB00951-WA,7750,10.190.1.167,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDLMTX-JAL5075-SA,7450,10.190.1.170,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDLMTX-JAL5075-SB,7450,10.190.1.171,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PVAGTA-IUSTB00953-WA,7750,10.190.1.174,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TEPGTA-IUSTB00964-WA,7750,10.190.1.176,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ROCIOM-COL5002-GA,7750,10.190.1.177,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
COLGTA-IUSTB00950-WA,7750,10.190.1.178,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
COLCEN-COL5017-GA,7750,10.190.1.179,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MORGTA-MICH5022-WA,7750,10.190.1.181,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TOREO-MICH5032-GA,7750,10.190.1.182,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
COSMOS-MOR007-GA,7750,10.190.1.183,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LASALU-MICH5022-GA,7750,10.190.1.184,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SIELEO-MOR003H-GA,7750,10.190.1.185,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LCAGTA-IUSTB00948-WA,7750,10.190.1.186,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LAZCA5-MICH5027-GA,7750,10.190.1.187,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEVA1-JAL5012-GA,7750,10.190.1.194,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TEPTVA-NAY5009-GA,7750,10.190.1.195,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-SA,7450,10.190.1.2,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LALOMA-JAL5059-GA,7750,10.190.1.206,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MANGTA-IUSTB00966-WA,7750,10.190.1.209,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TEPIC2-IUSTB00952-WA,7750,10.190.1.211,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
GDL-M3-EA,7750,10.190.1.216,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
OCOTLAN-WA,7750,10.190.1.219,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
URUAPAN-WA,7750,10.190.1.220,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CARDENAS-WA,7750,10.190.1.222,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CARDENAS-TAB8007-GA,7750,10.190.1.223,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MXCOLCOL0080RTAGG01,7750,10.190.1.227,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
AERVALL-HPTV0016-GA,7750,10.190.1.228,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MXJALTLZ0887RTAGG01,7750,10.190.1.240,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAMTX-JUA002-SB,7450,10.190.1.3,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHI-R9-EA,7750,10.190.1.4,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CHI-R9-EB,7750,10.190.1.5,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-CA,7750,10.190.1.50,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-CB,7750,10.190.1.51,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-EB,7750,10.190.1.55,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-SA,7450,10.190.1.56,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-SB,7450,10.190.1.57,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MTYGTA-IUSTB00959-WA,7750,10.190.1.60,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DIVNOR-NVL4031-GA,7750,10.190.1.61,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LAFE-NVL4049-GA,7750,10.190.1.63,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
OTOMI-NVL4040-GA,7750,10.190.1.64,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MONTER-NVL4038-IEA,7750,10.190.1.65,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NUEMOR-NVL4052-GA,7750,10.190.1.67,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PENGUE-NVL4064-GA,7750,10.190.1.70,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DIEDIA-NVL4032-GA,7750,10.190.1.71,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CINTER-NVL4093-GA,7750,10.190.1.72,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HUMLOB-NVL4039-GA,7750,10.190.1.73,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JUAREZ-NVL4022-GA,7750,10.190.1.75,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
HUINAL-NVL4053-GA,7750,10.190.1.76,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
APODAC-NVL4069-GA,7750,10.190.1.78,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JRZ-R8-EA,7750,10.190.1.8,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
POIUNE-MTYMTX-GA,7750,10.190.1.82,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ZONCEN-NVL4034-GA,7750,10.190.1.83,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VASCON-MTY049-GA,7750,10.190.1.84,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TAMGTA-IUSTB00902-WA,7750,10.190.1.85,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEIND-TAM017-GA,7750,10.190.1.86,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CANGAR-TAM003-GA,7750,10.190.1.87,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MANDIA-TAM009-GA,7750,10.190.1.88,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MARTOL-TAM006-GA,7750,10.190.1.89,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JRZ-R8-EB,7750,10.190.1.9,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
SABINA-IUSTB00937-GA,7750,10.190.1.90,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
CRYCLU-TAM010-GA,7750,10.190.1.94,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ZAPATE-TMP4010-GA,7750,10.190.1.95,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FIDVEL-TMP4039-GA,7750,10.190.1.97,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LEOMTX-GUJ6030-CA,7750,10.190.2.0,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
LEOMTX-GUJ6030-CB,7750,10.190.2.1,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-CA,7750,10.190.2.100,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-CB,7750,10.190.2.101,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MIRADO-PUE7054-GA,7750,10.190.2.102,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEPAZ-PUE7013-GA,7750,10.190.2.103,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
NODOEC-PUE7014-GA,7750,10.190.2.104,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
MEXI68-PUE7014-GA,7750,10.190.2.105,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
BRITAN-PUE7045-GA,7750,10.190.2.106,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
UDLA-PUE7039-GA,7750,10.190.2.107,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEJUA-PUE7051-GA,7750,10.190.2.108,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
DELMOR-GUJ6049-GA,7750,10.190.2.11,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEGTA-IUSTB00969-WA,7750,10.190.2.110,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-EA,7750,10.190.2.111,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-EB,7750,10.190.2.112,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-SA,7450,10.190.2.113,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
PUEMTX-PUE7020-SB,7450,10.190.2.114,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
TEMGTA-IUSTB00980-WA,7750,10.190.2.117,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ORIGTA-IUSTB00901-WA,7750,10.190.2.118,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
ORIZAB-VER7030-GA,7750,10.190.2.119,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VALSOL-LEO004H-GA,7750,10.190.2.12,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
VERGTA-IUSTB00963-WA,7750,10.190.2.121,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
JALAP1-VER7010-GA,7750,10.190.2.122,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FERROC-VER7008-GA,7750,10.190.2.124,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
FIESTA-VER7069-GA,7750,10.190.2.125,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
POZCEN-VER7039-GA,7750,10.190.2.126,wred_policy_ntw_egr:hi_70_90_80:lo_50_75_80
