Sysname,model,source,networ,description
TAMMTX-TAMREP011-SA,7450,10.190.1.130,1000,IPMEAN-internal:standard_policy:7xFCs
TAMMTX-TAMREP011-SB,7450,10.190.1.131,1000,IPMEAN-internal:standard_policy:7xFCs
GUEGTA-IUSTB00978-WA,7750,10.190.1.134,1000,IPMEAN-internal:standard_policy:7xFCs
MTY-M4-CA,7750,10.190.1.138,1000,IPMEAN-internal:standard_policy:7xFCs
MTY-M4-CB,7750,10.190.1.139,1000,IPMEAN-internal:standard_policy:7xFCs
MTY-M4-EA,7750,10.190.1.140,1000,IPMEAN-internal:standard_policy:7xFCs
MTY-M4-EB,7750,10.190.1.141,1000,IPMEAN-internal:standard_policy:7xFCs
NLD-R12-EA,7750,10.190.1.142,1000,IPMEAN-internal:standard_policy:7xFCs
NLD-R12-EB,7750,10.190.1.143,1000,IPMEAN-internal:standard_policy:7xFCs
REY-R15-EA,7750,10.190.1.146,1000,IPMEAN-internal:standard_policy:7xFCs
REY-R15-EB,7750,10.190.1.147,1000,IPMEAN-internal:standard_policy:7xFCs
GDLMTX-JAL5075-CA,7750,10.190.1.150,1000,IPMEAN-internal:standard_policy:7xFCs
TLAQUE-JAL5084-GA,7750,10.190.1.152,1000,IPMEAN-internal:standard_policy:7xFCs
GDLCEN-JAL5019-GA,7750,10.190.1.153,1000,IPMEAN-internal:standard_policy:7xFCs
MEZQUI-JAL5101-GA,7750,10.190.1.154,1000,IPMEAN-internal:standard_policy:7xFCs
PROVID-JAL5084-GA,7750,10.190.1.155,1000,IPMEAN-internal:standard_policy:7xFCs
FRESNO-JAL5055-GA,7750,10.190.1.156,1000,IPMEAN-internal:standard_policy:7xFCs
STAMAR-GUA035H-GA,7750,10.190.1.157,1000,IPMEAN-internal:standard_policy:7xFCs
TIJERA-JAL5060-GA,7750,10.190.1.158,1000,IPMEAN-internal:standard_policy:7xFCs
FUENTE-JAL5085-GA,7750,10.190.1.159,1000,IPMEAN-internal:standard_policy:7xFCs
INGLAT-JAL5100-GA,7750,10.190.1.160,1000,IPMEAN-internal:standard_policy:7xFCs
CRZSUR-JAL5099-GA,7750,10.190.1.161,1000,IPMEAN-internal:standard_policy:7xFCs
AUDITO-JAL5091-GA,7750,10.190.1.163,1000,IPMEAN-internal:standard_policy:7xFCs
VALREA-JAL5092-GA,7750,10.190.1.165,1000,IPMEAN-internal:standard_policy:7xFCs
PATRIA-JAL5077-GA,7750,10.190.1.166,1000,IPMEAN-internal:standard_policy:7xFCs
GDLGTA-IUSTB00951-WA,7750,10.190.1.167,1000,IPMEAN-internal:standard_policy:7xFCs
GDLMTX-JAL5075-SA,7450,10.190.1.170,1000,IPMEAN-internal:standard_policy:7xFCs
GDLMTX-JAL5075-SB,7450,10.190.1.171,1000,IPMEAN-internal:standard_policy:7xFCs
PVAGTA-IUSTB00953-WA,7750,10.190.1.174,1000,IPMEAN-internal:standard_policy:7xFCs
TEPGTA-IUSTB00964-WA,7750,10.190.1.176,1000,IPMEAN-internal:standard_policy:7xFCs
ROCIOM-COL5002-GA,7750,10.190.1.177,1000,IPMEAN-internal:standard_policy:7xFCs
COLGTA-IUSTB00950-WA,7750,10.190.1.178,1000,IPMEAN-internal:standard_policy:7xFCs
COLCEN-COL5017-GA,7750,10.190.1.179,1000,IPMEAN-internal:standard_policy:7xFCs
MORGTA-MICH5022-WA,7750,10.190.1.181,1000,IPMEAN-internal:standard_policy:7xFCs
TOREO-MICH5032-GA,7750,10.190.1.182,1000,IPMEAN-internal:standard_policy:7xFCs
COSMOS-MOR007-GA,7750,10.190.1.183,1000,IPMEAN-internal:standard_policy:7xFCs
LASALU-MICH5022-GA,7750,10.190.1.184,1000,IPMEAN-internal:standard_policy:7xFCs
SIELEO-MOR003H-GA,7750,10.190.1.185,1000,IPMEAN-internal:standard_policy:7xFCs
LCAGTA-IUSTB00948-WA,7750,10.190.1.186,1000,IPMEAN-internal:standard_policy:7xFCs
LAZCA5-MICH5027-GA,7750,10.190.1.187,1000,IPMEAN-internal:standard_policy:7xFCs
PUEVA1-JAL5012-GA,7750,10.190.1.194,1000,IPMEAN-internal:standard_policy:7xFCs
TEPTVA-NAY5009-GA,7750,10.190.1.195,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-SA,7450,10.190.1.2,1000,IPMEAN-internal:standard_policy:7xFCs
LALOMA-JAL5059-GA,7750,10.190.1.206,1000,IPMEAN-internal:standard_policy:7xFCs
MANGTA-IUSTB00966-WA,7750,10.190.1.209,1000,IPMEAN-internal:standard_policy:7xFCs
TEPIC2-IUSTB00952-WA,7750,10.190.1.211,1000,IPMEAN-internal:standard_policy:7xFCs
GDL-M3-CA,7750,10.190.1.214,1000,IPMEAN-internal:standard_policy:7xFCs
GDL-M3-CB,7750,10.190.1.215,1000,IPMEAN-internal:standard_policy:7xFCs
GDL-M3-EA,7750,10.190.1.216,1000,IPMEAN-internal:standard_policy:7xFCs
OCOTLAN-WA,7750,10.190.1.219,1000,IPMEAN-internal:standard_policy:7xFCs
URUAPAN-WA,7750,10.190.1.220,1000,IPMEAN-internal:standard_policy:7xFCs
URUAPAN-MICH5011-GA,7750,10.190.1.221,1000,IPMEAN-internal:standard_policy:7xFCs
CARDENAS-WA,7750,10.190.1.222,1000,IPMEAN-internal:standard_policy:7xFCs
CARDENAS-TAB8007-GA,7750,10.190.1.223,1000,IPMEAN-internal:standard_policy:7xFCs
MXCOLCOL0080RTAGG01,7750,10.190.1.227,1000,IPMEAN-internal:standard_policy:7xFCs
AERVALL-HPTV0016-GA,7750,10.190.1.228,1000,IPMEAN-internal:standard_policy:7xFCs
MXJALTLZ0887RTAGG01,7750,10.190.1.240,1000,IPMEAN-internal:standard_policy:7xFCs
JUAMTX-JUA002-SB,7450,10.190.1.3,1000,IPMEAN-internal:standard_policy:7xFCs
CHI-R9-EA,7750,10.190.1.4,1000,IPMEAN-internal:standard_policy:7xFCs
CHI-R9-EB,7750,10.190.1.5,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-CA,7750,10.190.1.50,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-CB,7750,10.190.1.51,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-EB,7750,10.190.1.55,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-SA,7450,10.190.1.56,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-SB,7450,10.190.1.57,1000,IPMEAN-internal:standard_policy:7xFCs
MTYGTA-IUSTB00959-WA,7750,10.190.1.60,1000,IPMEAN-internal:standard_policy:7xFCs
DIVNOR-NVL4031-GA,7750,10.190.1.61,1000,IPMEAN-internal:standard_policy:7xFCs
LAFE-NVL4049-GA,7750,10.190.1.63,1000,IPMEAN-internal:standard_policy:7xFCs
OTOMI-NVL4040-GA,7750,10.190.1.64,1000,IPMEAN-internal:standard_policy:7xFCs
MONTER-NVL4038-IEA,7750,10.190.1.65,1000,IPMEAN-internal:standard_policy:7xFCs
NUEMOR-NVL4052-GA,7750,10.190.1.67,1000,IPMEAN-internal:standard_policy:7xFCs
PENGUE-NVL4064-GA,7750,10.190.1.70,1000,IPMEAN-internal:standard_policy:7xFCs
DIEDIA-NVL4032-GA,7750,10.190.1.71,1000,IPMEAN-internal:standard_policy:7xFCs
CINTER-NVL4093-GA,7750,10.190.1.72,1000,IPMEAN-internal:standard_policy:7xFCs
HUMLOB-NVL4039-GA,7750,10.190.1.73,1000,IPMEAN-internal:standard_policy:7xFCs
JUAREZ-NVL4022-GA,7750,10.190.1.75,1000,IPMEAN-internal:standard_policy:7xFCs
HUINAL-NVL4053-GA,7750,10.190.1.76,1000,IPMEAN-internal:standard_policy:7xFCs
APODAC-NVL4069-GA,7750,10.190.1.78,1000,IPMEAN-internal:standard_policy:7xFCs
JRZ-R8-EA,7750,10.190.1.8,1000,IPMEAN-internal:standard_policy:7xFCs
POIUNE-MTYMTX-GA,7750,10.190.1.82,1000,IPMEAN-internal:standard_policy:7xFCs
ZONCEN-NVL4034-GA,7750,10.190.1.83,1000,IPMEAN-internal:standard_policy:7xFCs
VASCON-MTY049-GA,7750,10.190.1.84,1000,IPMEAN-internal:standard_policy:7xFCs
TAMGTA-IUSTB00902-WA,7750,10.190.1.85,1000,IPMEAN-internal:standard_policy:7xFCs
PUEIND-TAM017-GA,7750,10.190.1.86,1000,IPMEAN-internal:standard_policy:7xFCs
CANGAR-TAM003-GA,7750,10.190.1.87,1000,IPMEAN-internal:standard_policy:7xFCs
MANDIA-TAM009-GA,7750,10.190.1.88,1000,IPMEAN-internal:standard_policy:7xFCs
MARTOL-TAM006-GA,7750,10.190.1.89,1000,IPMEAN-internal:standard_policy:7xFCs
JRZ-R8-EB,7750,10.190.1.9,1000,IPMEAN-internal:standard_policy:7xFCs
SABINA-IUSTB00937-GA,7750,10.190.1.90,1000,IPMEAN-internal:standard_policy:7xFCs
CRYCLU-TAM010-GA,7750,10.190.1.94,1000,IPMEAN-internal:standard_policy:7xFCs
ZAPATE-TMP4010-GA,7750,10.190.1.95,1000,IPMEAN-internal:standard_policy:7xFCs
FIDVEL-TMP4039-GA,7750,10.190.1.97,1000,IPMEAN-internal:standard_policy:7xFCs
LEOMTX-GUJ6030-CA,7750,10.190.2.0,1000,IPMEAN-internal:standard_policy:7xFCs
LEOMTX-GUJ6030-CB,7750,10.190.2.1,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-CA,7750,10.190.2.100,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-CB,7750,10.190.2.101,1000,IPMEAN-internal:standard_policy:7xFCs
MIRADO-PUE7054-GA,7750,10.190.2.102,1000,IPMEAN-internal:standard_policy:7xFCs
PUEPAZ-PUE7013-GA,7750,10.190.2.103,1000,IPMEAN-internal:standard_policy:7xFCs
NODOEC-PUE7014-GA,7750,10.190.2.104,1000,IPMEAN-internal:standard_policy:7xFCs
MEXI68-PUE7014-GA,7750,10.190.2.105,1000,IPMEAN-internal:standard_policy:7xFCs
BRITAN-PUE7045-GA,7750,10.190.2.106,1000,IPMEAN-internal:standard_policy:7xFCs
UDLA-PUE7039-GA,7750,10.190.2.107,1000,IPMEAN-internal:standard_policy:7xFCs
PUEJUA-PUE7051-GA,7750,10.190.2.108,1000,IPMEAN-internal:standard_policy:7xFCs
DELMOR-GUJ6049-GA,7750,10.190.2.11,1000,IPMEAN-internal:standard_policy:7xFCs
PUEGTA-IUSTB00969-WA,7750,10.190.2.110,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-EA,7750,10.190.2.111,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-EB,7750,10.190.2.112,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-SA,7450,10.190.2.113,1000,IPMEAN-internal:standard_policy:7xFCs
PUEMTX-PUE7020-SB,7450,10.190.2.114,1000,IPMEAN-internal:standard_policy:7xFCs
TEMGTA-IUSTB00980-WA,7750,10.190.2.117,1000,IPMEAN-internal:standard_policy:7xFCs
ORIGTA-IUSTB00901-WA,7750,10.190.2.118,1000,IPMEAN-internal:standard_policy:7xFCs
ORIZAB-VER7030-GA,7750,10.190.2.119,1000,IPMEAN-internal:standard_policy:7xFCs
VALSOL-LEO004H-GA,7750,10.190.2.12,1000,IPMEAN-internal:standard_policy:7xFCs
VERGTA-IUSTB00963-WA,7750,10.190.2.121,1000,IPMEAN-internal:standard_policy:7xFCs
JALAP1-VER7010-GA,7750,10.190.2.122,1000,IPMEAN-internal:standard_policy:7xFCs
FERROC-VER7008-GA,7750,10.190.2.124,1000,IPMEAN-internal:standard_policy:7xFCs
FIESTA-VER7069-GA,7750,10.190.2.125,1000,IPMEAN-internal:standard_policy:7xFCs
POZCEN-VER7039-GA,7750,10.190.2.126,1000,IPMEAN-internal:standard_policy:7xFCs
MEDPER-VER7021-GA,7750,10.190.2.127,1000,IPMEAN-internal:standard_policy:7xFCs
BRISAS-VER7144-GA,7750,10.190.2.128,1000,IPMEAN-internal:standard_policy:7xFCs
BUGAMB-GUJ6032-GA,7750,10.190.2.13,1000,IPMEAN-internal:standard_policy:7xFCs
PZRGTA-IUSTB00962-WA,7750,10.190.2.130,1000,IPMEAN-internal:standard_policy:7xFCs
MINATI-IUSTB00970-WA,7750,10.190.2.132,1000,IPMEAN-internal:standard_policy:7xFCs
COAGTA-IUSTB00990-WA,7750,10.190.2.133,1000,IPMEAN-internal:standard_policy:7xFCs
JUILE-IUSTB00901-WA,7750,10.190.2.135,1000,IPMEAN-internal:standard_policy:7xFCs
SALCRU-IUSTB00942-GA,7750,10.190.2.137,1000,IPMEAN-internal:standard_policy:7xFCs
SACGTA-IUSTB00898-WA,7750,10.190.2.138,1000,IPMEAN-internal:standard_policy:7xFCs
OAXAC2-OAX7002-GA,7750,10.190.2.139,1000,IPMEAN-internal:standard_policy:7xFCs
FORTIN-OAX7005-GA,7750,10.190.2.140,1000,IPMEAN-internal:standard_policy:7xFCs
HUATUL-OAX7047-GA,7750,10.190.2.141,1000,IPMEAN-internal:standard_policy:7xFCs
CANTRE-VER7054-GA,7750,10.190.2.142,1000,IPMEAN-internal:standard_policy:7xFCs
CUAUHT-ACA016HC-GA,7750,10.190.2.143,1000,IPMEAN-internal:standard_policy:7xFCs
LOSLIR-GUE7016H-GA,7750,10.190.2.144,1000,IPMEAN-internal:standard_policy:7xFCs
MEGREN-ACA001HC-GA,7750,10.190.2.145,1000,IPMEAN-internal:standard_policy:7xFCs
ARRSEC-ACA006H-GA,7750,10.190.2.146,1000,IPMEAN-internal:standard_policy:7xFCs
ACAGTA-IUSTB00898-WA,7750,10.190.2.147,1000,IPMEAN-internal:standard_policy:7xFCs
ACAMTX-ACAMTX-CA,7750,10.190.2.150,1000,IPMEAN-internal:standard_policy:7xFCs
ACAMTX-ACAMTX-CB,7750,10.190.2.151,1000,IPMEAN-internal:standard_policy:7xFCs
OAXGTA-IUSTB00981-WA,7750,10.190.2.154,1000,IPMEAN-internal:standard_policy:7xFCs
LASBRI-GUJ6069-GA,7750,10.190.2.16,1000,IPMEAN-internal:standard_policy:7xFCs
ACAMTX-ACAMTX-EA,7750,10.190.2.175,1000,IPMEAN-internal:standard_policy:7xFCs
